ID; Task ; Round; Screen; Screen Time; Round Time; Errors
2; 3; 1; Front; 4,15 s;10,85 s;0
2; 3; 2; Front; 0,00 s;5,55 s;0
2; 3; 3; Front; 0,00 s;10,42 s;0
2; 2; 1; Back; 2,43 s;8,86 s;0
2; 2; 2; Back; 9,79 s;26,04 s;3
2; 2; 3; Back; 1,01 s;6,55 s;0
2; 1; 1; Back; 9,37 s;26,14 s;3
2; 1; 2; Back; 12,18 s;53,86 s;0
2; 1; 3; Back; 0,00 s;6,79 s;0
2; 3; 1; None;0.00 s;41,47 s;0
2; 3; 2; None;0.00 s;7,85 s;0
2; 3; 3; None;0.00 s;24,09 s;0
2; 2; 1; None;0.00 s;5,32 s;0
2; 2; 2; None;0.00 s;6,85 s;0
2; 2; 3; None;0.00 s;3,55 s;0
2; 1; 1; None;0.00 s;20,46 s;0
2; 1; 2; None;0.00 s;11,68 s;1
2; 1; 3; None;0.00 s;4,14 s;0
